SiteCode,Date,Analyte,Unit,DataType,DataValue,NonDetect,n,MDL,RL,ResQualCode,QACode,Compliance,Comment
637SUS001,12/27/01,"Phosphorus as P, Total",mg/L,Annual Average,0.043333333,,,,,,,,
637SUS001,10/23/02,"Phosphorus as P, Total",mg/L,Annual Average,0.103333333,,,,,,,,
637SUS001,12/16/03,"Phosphorus as P, Total",mg/L,Annual Average,0.101,,,,,,,,
637SUS001,10/20/04,"Phosphorus as P, Total",mg/L,Annual Average,0.139333333,,,,,,,,
637SUS001,7/20/05,"Phosphorus as P, Total",mg/L,Annual Average,0.128,,,,,,,,
637SUS001,10/15/08,"Phosphorus as P, Total",mg/L,Annual Average,0.157333333,,,,,,,,
637SUS001,9/16/09,"Phosphorus as P, Total",mg/L,Annual Average,0.090333333,,,,,,,,
637SUS001,9/15/10,"Phosphorus as P, Total",mg/L,Annual Average,0.104,,,,,,,,
637SUS001,6/22/11,"Phosphorus as P, Total",mg/L,Annual Average,0.08,,,,,,,,
637SUS001,10/3/12,"Phosphorus as P, Total",mg/L,Annual Average,0.155516667,,,,,,,,
637SUS001,11/14/13,"Phosphorus as P, Total",mg/L,Annual Average,0.1064,,,,,,,,
637SUS001,10/28/14,"Phosphorus as P, Total",mg/L,Annual Average,0.064675,,,,,,,,
637SUS001,11/17/15,"Phosphorus as P, Total",mg/L,Annual Average,0.081725,,,,,,,,
637SUS001,10/24/16,"Phosphorus as P, Total",mg/L,Annual Average,0.122775,,,,,,,,
637SUS001,12/27/01,Total Dissolved Solids,mg/L,Annual Average,233,,,,,,,,
637SUS001,10/23/02,Total Dissolved Solids,mg/L,Annual Average,227,,,,,,,,
637SUS001,12/16/03,Total Dissolved Solids,mg/L,Annual Average,227,,,,,,,,
637SUS001,10/20/04,Total Dissolved Solids,mg/L,Annual Average,232,,,,,,,,
637SUS001,7/20/05,Total Dissolved Solids,mg/L,Annual Average,253,,,,,,,,
637SUS001,10/15/08,Total Dissolved Solids,mg/L,Annual Average,258,,,,,,,,
637SUS001,9/16/09,Total Dissolved Solids,mg/L,Annual Average,217,,,,,,,,
637SUS001,9/15/10,Total Dissolved Solids,mg/L,Annual Average,207,,,,,,,,
